Effective config:
  preset=none difficulty=medium
  games=10000000 train=True
  placement_strategy=model
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (105,791 params)
Device: cpu
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: capstone_agent/models/capstone_model.pt
  Placement agent: strategy=model, 105,791 params
  Placement weights: capstone_agent/models/placement_model.pt
  Opponent: rl-capstone [frozen champion: main=capstone_agent/models/champion_main_play.pt, placement=capstone_agent/models/champion_placement.pt]
  Self-play ladder: enabled
  Champion history dir: capstone_agent/models/champion_history/selfplay_run1
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=10000 games
  Replay JSON save: disabled
  Benchmark CSV: capstone_agent/benchmarks/selfplay_10m_run1.csv
  Device: cpu

Game  117/10000000:        WON  steps= 237  reward=+1.5  [wr300=45.3%(117); by_enemy: rl-capstone(champion)=45.3%(117)]
  trained PPO on 4303 buffered transitions (games in batch: 12; trigger=steps: buffered transitions reached 4303)
Game  118/10000000:        WON  steps= 189  reward=+1.5  [wr300=45.8%(118); by_enemy: rl-capstone(champion)=45.8%(118)]
Game  119/10000000:       LOST  steps= 221  reward=-0.9  [wr300=45.4%(119); by_enemy: rl-capstone(champion)=45.4%(119)]
Game  120/10000000:        WON  steps= 422  reward=+1.3  [wr300=45.8%(120); by_enemy: rl-capstone(champion)=45.8%(120)]
Game  121/10000000:        WON  steps= 302  reward=+1.4  [wr300=46.3%(121); by_enemy: rl-capstone(champion)=46.3%(121)]
Game  122/10000000:        WON  steps= 227  reward=+1.6  [wr300=46.7%(122); by_enemy: rl-capstone(champion)=46.7%(122)]
Game  123/10000000:       LOST  steps= 222  reward=-1.1  [wr300=46.3%(123); by_enemy: rl-capstone(champion)=46.3%(123)]
Game  124/10000000:        WON  steps= 368  reward=+1.3  [wr300=46.8%(124); by_enemy: rl-capstone(champion)=46.8%(124)]
Game  125/10000000:        WON  steps= 370  reward=+1.4  [wr300=47.2%(125); by_enemy: rl-capstone(champion)=47.2%(125)]
Game  126/10000000:        WON  steps= 234  reward=+1.5  [wr300=47.6%(126); by_enemy: rl-capstone(champion)=47.6%(126)]
Game  127/10000000:        WON  steps= 231  reward=+1.5  [wr300=48.0%(127); by_enemy: rl-capstone(champion)=48.0%(127)]
Game  128/10000000:       LOST  steps= 232  reward=-0.9  [wr300=47.7%(128); by_enemy: rl-capstone(champion)=47.7%(128)]
Game  129/10000000:       LOST  steps= 147  reward=-1.0  [wr300=47.3%(129); by_enemy: rl-capstone(champion)=47.3%(129)]
Game  130/10000000:        WON  steps= 385  reward=+1.4  [wr300=47.7%(130); by_enemy: rl-capstone(champion)=47.7%(130)]
Game  131/10000000:       LOST  steps= 219  reward=-1.1  [wr300=47.3%(131); by_enemy: rl-capstone(champion)=47.3%(131)]
Game  132/10000000:        WON  steps= 288  reward=+1.4  [wr300=47.7%(132); by_enemy: rl-capstone(champion)=47.7%(132)]
Game  133/10000000:        WON  steps= 180  reward=+1.6  [wr300=48.1%(133); by_enemy: rl-capstone(champion)=48.1%(133)]
Game  134/10000000:       LOST  steps= 208  reward=-1.1  [wr300=47.8%(134); by_enemy: rl-capstone(champion)=47.8%(134)]
Game  135/10000000:       LOST  steps= 221  reward=-1.1  [wr300=47.4%(135); by_enemy: rl-capstone(champion)=47.4%(135)]
Game  136/10000000:       LOST  steps= 201  reward=-1.1  [wr300=47.1%(136); by_enemy: rl-capstone(champion)=47.1%(136)]
Game  137/10000000:       LOST  steps= 222  reward=-1.1  [wr300=46.7%(137); by_enemy: rl-capstone(champion)=46.7%(137)]
Game  138/10000000:        WON  steps= 297  reward=+1.4  [wr300=47.1%(138); by_enemy: rl-capstone(champion)=47.1%(138)]
Game  139/10000000:        WON  steps= 441  reward=+1.3  [wr300=47.5%(139); by_enemy: rl-capstone(champion)=47.5%(139)]
Game  140/10000000:       LOST  steps= 253  reward=-1.0  [wr300=47.1%(140); by_enemy: rl-capstone(champion)=47.1%(140)]
Game  141/10000000:        WON  steps= 305  reward=+1.4  [wr300=47.5%(141); by_enemy: rl-capstone(champion)=47.5%(141)]
  trained PPO on 4239 buffered transitions (games in batch: 14; trigger=steps: buffered transitions reached 4239)
Game  142/10000000:        WON  steps= 233  reward=+1.5  [wr300=47.9%(142); by_enemy: rl-capstone(champion)=47.9%(142)]
Game  143/10000000:        WON  steps= 504  reward=+1.3  [wr300=48.3%(143); by_enemy: rl-capstone(champion)=48.3%(143)]
Game  144/10000000:        WON  steps= 312  reward=+1.4  [wr300=48.6%(144); by_enemy: rl-capstone(champion)=48.6%(144)]
Game  145/10000000:        WON  steps= 276  reward=+1.5  [wr300=49.0%(145); by_enemy: rl-capstone(champion)=49.0%(145)]
Game  146/10000000:        WON  steps= 339  reward=+1.4  [wr300=49.3%(146); by_enemy: rl-capstone(champion)=49.3%(146)]
Game  147/10000000:        WON  steps= 243  reward=+1.5  [wr300=49.7%(147); by_enemy: rl-capstone(champion)=49.7%(147)]
Game  148/10000000:       LOST  steps= 315  reward=-1.2  [wr300=49.3%(148); by_enemy: rl-capstone(champion)=49.3%(148)]
Game  149/10000000:        WON  steps= 129  reward=+1.5  [wr300=49.7%(149); by_enemy: rl-capstone(champion)=49.7%(149)]
Game  150/10000000:        WON  steps= 233  reward=+1.5  [wr300=50.0%(150); by_enemy: rl-capstone(champion)=50.0%(150)]
Game  151/10000000:        WON  steps= 300  reward=+1.5  [wr300=50.3%(151); by_enemy: rl-capstone(champion)=50.3%(151)]
Game  152/10000000:       LOST  steps= 372  reward=-1.2  [wr300=50.0%(152); by_enemy: rl-capstone(champion)=50.0%(152)]
Game  153/10000000:        WON  steps= 495  reward=+1.2  [wr300=50.3%(153); by_enemy: rl-capstone(champion)=50.3%(153)]
Game  154/10000000:        WON  steps= 290  reward=+1.5  [wr300=50.6%(154); by_enemy: rl-capstone(champion)=50.6%(154)]
Game  155/10000000:        WON  steps= 349  reward=+1.4  [wr300=51.0%(155); by_enemy: rl-capstone(champion)=51.0%(155)]
