=== 2026-04-05T20:17:06-04:00 neuner_vs_alphabeta start cwd=/hpc/home/wjn7/catan_ai ===
=== GPU check ===
GPU 0: NVIDIA RTX 5000 Ada Generation (UUID: GPU-59c4ee0f-b317-ac8a-e75d-67c9e2b77278)
torch 2.10.0+cu128 cuda_available True
NVIDIA RTX 5000 Ada Generation
Effective config:
  preset=none difficulty=medium
  games=1000000 train=True
  placement_strategy=alphabeta
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (alphabeta(depth=2, prunning=True))
Device: cuda
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: /hpc/home/wjn7/catan_ai/capstone_agent/models/capstone_model.pt
  Placement agent: strategy=alphabeta, alphabeta(depth=2, prunning=True)
  Placement weights: [none loaded]
  Opponent: alphabeta (depth=2, prunning=True)
  Self-play ladder: disabled
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=2000 games, numbered main checkpoint copies
  Replay JSON save: enabled, dir=/hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/replays, every 100 games
  Benchmark CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/benchmark_games.csv
  PPO metrics CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/ppo_training.csv
  Device: cuda

Game   88/1000000:       LOST  steps=  83  reward=-0.8  [wr300=1.1%(88); by_enemy: alphabeta@2=1.1%(88)]
Game   89/1000000:       LOST  steps=  89  reward=-0.8  [wr300=1.1%(89); by_enemy: alphabeta@2=1.1%(89)]
Game   90/1000000:       LOST  steps= 127  reward=-0.5  [wr300=1.1%(90); by_enemy: alphabeta@2=1.1%(90)]
Game   91/1000000:       LOST  steps= 145  reward=-0.7  [wr300=1.1%(91); by_enemy: alphabeta@2=1.1%(91)]
Game   92/1000000:       LOST  steps= 154  reward=-0.6  [wr300=1.1%(92); by_enemy: alphabeta@2=1.1%(92)]
Game   93/1000000:       LOST  steps= 107  reward=-0.8  [wr300=1.1%(93); by_enemy: alphabeta@2=1.1%(93)]
Game   94/1000000:       LOST  steps=  98  reward=-0.8  [wr300=1.1%(94); by_enemy: alphabeta@2=1.1%(94)]
Game   95/1000000:       LOST  steps= 194  reward=-0.5  [wr300=1.1%(95); by_enemy: alphabeta@2=1.1%(95)]
Game   96/1000000:       LOST  steps= 106  reward=-0.7  [wr300=1.0%(96); by_enemy: alphabeta@2=1.0%(96)]
Game   97/1000000:       LOST  steps=  89  reward=-0.9  [wr300=1.0%(97); by_enemy: alphabeta@2=1.0%(97)]
Game   98/1000000:       LOST  steps=  71  reward=-0.9  [wr300=1.0%(98); by_enemy: alphabeta@2=1.0%(98)]
Game   99/1000000:       LOST  steps= 100  reward=-0.8  [wr300=1.0%(99); by_enemy: alphabeta@2=1.0%(99)]
Game  100/1000000:       LOST  steps=  89  reward=-0.8  [wr300=1.0%(100); by_enemy: alphabeta@2=1.0%(100)]
  saved replay json: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/replays/bdd93444-2945-49a6-8a56-60d14e864c78.json
Game  101/1000000:       LOST  steps= 145  reward=-0.7  [wr300=1.0%(101); by_enemy: alphabeta@2=1.0%(101)]
Game  102/1000000:       LOST  steps=  89  reward=-0.9  [wr300=1.0%(102); by_enemy: alphabeta@2=1.0%(102)]
Game  103/1000000:       LOST  steps=  77  reward=-0.8  [wr300=1.0%(103); by_enemy: alphabeta@2=1.0%(103)]
Game  104/1000000:       LOST  steps= 114  reward=-0.9  [wr300=1.0%(104); by_enemy: alphabeta@2=1.0%(104)]
Game  105/1000000:       LOST  steps=  72  reward=-0.7  [wr300=1.0%(105); by_enemy: alphabeta@2=1.0%(105)]
Game  106/1000000:       LOST  steps=  60  reward=-0.8  [wr300=0.9%(106); by_enemy: alphabeta@2=0.9%(106)]
Game  107/1000000:       LOST  steps= 160  reward=-0.7  [wr300=0.9%(107); by_enemy: alphabeta@2=0.9%(107)]
Game  108/1000000:       LOST  steps=  75  reward=-0.8  [wr300=0.9%(108); by_enemy: alphabeta@2=0.9%(108)]
Game  109/1000000:       LOST  steps=  48  reward=-0.8  [wr300=0.9%(109); by_enemy: alphabeta@2=0.9%(109)]
Game  110/1000000:       LOST  steps=  97  reward=-0.9  [wr300=0.9%(110); by_enemy: alphabeta@2=0.9%(110)]
Game  111/1000000:       LOST  steps= 121  reward=-0.8  [wr300=0.9%(111); by_enemy: alphabeta@2=0.9%(111)]
Game  112/1000000:       LOST  steps= 140  reward=-0.7  [wr300=0.9%(112); by_enemy: alphabeta@2=0.9%(112)]
Game  113/1000000:       LOST  steps= 166  reward=-0.8  [wr300=0.9%(113); by_enemy: alphabeta@2=0.9%(113)]
Game  114/1000000:       LOST  steps= 106  reward=-0.9  [wr300=0.9%(114); by_enemy: alphabeta@2=0.9%(114)]
Game  115/1000000:       LOST  steps= 108  reward=-0.8  [wr300=0.9%(115); by_enemy: alphabeta@2=0.9%(115)]
